etablissement_id_paysage;uo_lib;nom_court;sigle;type_d_etablissement;typologie_d_universites_et_assimiles;secteur_d_etablissement;localisation;LAT;LONG;uai;anciens_codes_uai;identifiant_wikidata;date_creation;texte_de_ref_creation_lib;texte_de_ref_creation;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;reg_id_old;reg_nom_old;mention_distribution;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;inscrits_2010;inscrits_2011;inscrits_2012;inscrits_2013;inscrits_2014;inscrits_2015;inscrits_2016;inscrits_2017;inscrits_2018;inscrits_2019;inscrits_2020;inscrits_2021;inscrits_2022
gdal8;TBS Education;;;École;;privé;Occitanie>Toulouse>Haute-Garonne>Toulouse;43.610775;1.429964;0310156B;;Q3117393;1902;;;31555;Toulouse;UU00758;Toulouse;D031;Haute-Garonne;A16;Toulouse;R76;Occitanie;R73;Midi-Pyrénées;;1 Place Alphonse Jourdain;;CS 66810;31068;TOULOUSE CEDEX 7;France;;;;;;;;;;;;;
hlX1r;Université de Poitiers;Université Poitiers;;Université;Université pluridisciplinaire avec santé;public;Nouvelle-Aquitaine>Poitiers>Vienne>Poitiers;46.58596;0.34601;0860856N;;Q661056;1431;Décret n° 70-1174 du 17 décembre 1970 portant érection en établissements publics à caractère scientifique et culturel d'universités et centres universitaires;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000511402/;86194;Poitiers;UU86601;Poitiers;D086;Vienne;A13;Poitiers;R75;Nouvelle-Aquitaine;R54;Poitou-Charentes;;15 rue de l’Hôtel Dieu;;TSA 71117;86073;Poitiers CEDEX 9;France;23149;22804;22128;23370;24193;25470;26087;26880;26336.0;26846.0;28026.0;28161.0;27193.0
C701f;Université de Toulon;Université Toulon;;Université;Université pluridisciplinaire hors santé;public;Provence-Alpes-Côte d'Azur>Nice>Var>Toulon>La Garde;43.1369;6.01684;0830766G;;Q1816857;01/10/1979;Décret n° 79-150 du 22 février 1979 portant transformation en université du centre universitaire de Toulon;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000336838;83062;La Garde;UU00757;Toulon;D083;Var;A23;Nice;R93;Provence-Alpes-Côte d'Azur;R93;Provence-Alpes-Côte d'Azur;;Avenue de l'Université;;CS 60584;83041;TOULON CEDEX 9;France;9103;9041;8591;8501;8545;8766;8987;9202;9531.0;10280.0;10749.0;10652.0;10010.0
6Jl2q;École spéciale d'architecture;;ÉSA;École;;privé;Île-de-France>Paris>Paris 14e;48.837534;2.330967;0753533H;;Q1140013;1865;;;75114;Paris 14e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;;254 boulevard Raspail;;;75014;Paris;France;;;;;;;;;;;;;
91D9w;Université de Rennes;UNIVRENNES;;Université;Université scientifique et/ou médicale;public;Bretagne>Rennes>Ille-et-Vilaine>Rennes;48.114339;-1.636424;0353074B;0350936C;Q1987282;28/11/2022;Décret n° 2022-1474 du 24 novembre 2022 portant création de l'Université de Rennes et approbation de ses statuts;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000046619040/;35238;Rennes;UU35701;Rennes;D035;Ille-et-Vilaine;A14;Rennes;R53;Bretagne;R53;Bretagne;;263 Avenue Général Leclerc;;CS 46510;35700;Rennes;France;;;;;;;;;;;;;31759.0
xJdyB;Aix-Marseille Université;amU;amU;Université;Université pluridisciplinaire avec santé;public;Provence-Alpes-Côte d'Azur>Aix-Marseille>Bouches-du-Rhône>Marseille-Aix-en-Provence>Marseille 7e;43.2935;5.35781;0134009M;"0133908C;0131842G;0131843H;0132364Z";Q2302586;01/01/2012;Décret n° 2011-1010 du 24 août 2011 portant création de l'université d'Aix-Marseille;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000024502554/;13207;Marseille 7e;UU00759;Marseille-Aix-en-Provence;D013;Bouches-du-Rhône;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur;R93;Provence-Alpes-Côte d'Azur;;58 boulevard Charles Livon;;;13284;Marseille CEDEX 07;France;;60667;58679;58728;60984;62175;62629;63095;64403.0;65595.0;67478.0;66934.0;63950.0
bgFFu;École du Louvre;EDL;;École;;public;Île-de-France>Paris>Paris 1er;48.86091;2.33094;0753489K;;Q273534;1882;;;75101;Paris 1er;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;Palais du Louvre - Porte Jaujard;Place du Carrousel;;;75038;Paris CEDEX 01;France;;;;;;;;;;;;;
5Ic1n;École nationale supérieure d'architecture de Paris-Malaquais;ENSAPM;;École;;public;Île-de-France>Paris>Paris 6e;48.85669993265381;2.3335433006286626;0751871B;;Q3578184;2001-01;;;75106;Paris 6e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;;14 rue Bonaparte;;;75006;Paris;France;;;;;;;;;;;;;
1H1nG;École nationale supérieure d'architecture de Toulouse;ENSA Toulouse;;École;;public;Occitanie>Toulouse>Haute-Garonne>Toulouse;43.579717;1.397345;0310150V;;Q3578191;;;;31555;Toulouse;UU00758;Toulouse;D031;Haute-Garonne;A16;Toulouse;R76;Occitanie;R73;Midi-Pyrénées;;83  RUE ARISTIDE MAILLOL;;BP 10629;31106;TOULOUSE CEDEX 1;France;;;;;;;;;;;;;
Rnid8;École nationale supérieure des arts décoratifs;ÉnsAD-Paris;;École;;public;Île-de-France>Paris>Paris 5e;48.84278;2.34466;0753470P;;Q1135990;;;;75105;Paris 5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;;31 RUE D ULM;;;75240;PARIS CEDEX 05;France;;;;;;;;;;;;;
